,location,location_id,direction,position,ons,offs,total,lifts,period
2554,NE Glisan & 176th,2075,W,NS,3,0,3,1,Fall2018
2555,NE Glisan & 176th,2076,E,FS,0,2,2,1,Fall2018
2556,NE Glisan & 181st,2081,W,FS,7,3,10,2,Fall2018
3396,NW Glisan & 19th,2086,W,NS,11,78,89,43,Fall2018
3397,NW Glisan & 21st,2099,W,NS,17,150,167,28,Fall2018
2559,NE Glisan & 28th,2105,E,FS,33,64,97,7,Fall2018
2561,NE Glisan & 30th,2106,E,FS,8,17,25,3,Fall2018
2562,NE Glisan & 30th,2107,W,NS,25,9,34,9,Fall2018
2563,NE Glisan & 32nd,2108,E,NS,5,11,16,2,Fall2018
2564,NE Glisan & 32nd,2109,W,NS,11,4,15,1,Fall2018
2605,NE Glisan & Cesar Chavez Blvd,2110,E,FS,33,31,64,20,Fall2018
2606,NE Glisan & Cesar Chavez Blvd,2111,W,FS,31,49,80,28,Fall2018
2565,NE Glisan & 43rd,2114,E,NS,2,14,16,2,Fall2018
2566,NE Glisan & 43rd,2115,W,NS,15,2,17,0,Fall2018
2567,NE Glisan & 45th,2117,W,NS,35,12,47,27,Fall2018
2569,NE Glisan & 49th,2119,E,FS,66,94,160,114,Fall2018
2570,NE Glisan & 52nd,2121,W,NS,59,35,94,44,Fall2018
2571,NE Glisan & 53rd,2122,E,NS,21,48,69,21,Fall2018
2572,NE Glisan & 55th,2123,W,NS,15,11,26,11,Fall2018
2573,NE Glisan & 56th,2124,E,FS,10,14,24,11,Fall2018
2574,NE Glisan & 57th,2126,W,NS,13,6,19,6,Fall2018
2575,NE Glisan & 60th,2127,E,NS,29,49,78,45,Fall2018
2576,NE Glisan & 60th,2128,W,NS,44,29,73,47,Fall2018
2577,NE Glisan & 62nd,2129,W,NS,12,1,13,1,Fall2018
2578,NE Glisan & 62nd,2130,E,NS,2,6,8,1,Fall2018
2579,NE Glisan & 65th,2131,E,NS,4,29,33,9,Fall2018
2580,NE Glisan & 65th,2132,W,NS,39,8,47,31,Fall2018
2581,NE Glisan & 67th,2133,W,NS,33,27,60,21,Fall2018
2582,NE Glisan & 67th,2134,E,NS,27,47,74,35,Fall2018
2583,NE Glisan & 71st,2137,W,NS,36,13,49,3,Fall2018
2584,NE Glisan & 71st,2138,E,NS,10,29,39,2,Fall2018
2585,NE Glisan & 73rd,2139,E,FS,7,28,35,7,Fall2018
