location,location_id,direction,position,ons,offs,total,lifts
3600 Block SW Hall,2268,E,AT,14,17,31,7
3600 Block SW Murray,4057,S,AT,12,7,19,2
3700 Block NW Front,1931,W,AT,3,14,17,0
3700 Block SE 162nd,13958,N,AT,11,1,12,1
3700 Block SW Huber,13794,E,AT,1,0,1,0
3800 Block NE Columbia Blvd,1101,W,AT,0,6,6,0
3800 Block NE Columbia Blvd,1102,E,AT,6,1,7,0
3800 Block NW Front,8903,E,OP,1,0,1,0
3800 Block NW Front,8904,W,AT,0,1,1,0
3800 Block Pacific Ave,4289,W,AT,17,41,58,18
3800 Block South Shore,5289,W,AT,0,0,0,0
3900 Block NW Yeon,6467,W,AT,0,11,11,0
3900 Block NW Yeon Frontage Rd,6463,E,AT,5,0,5,0
3900 Block Pacific Ave,4272,E,AT,33,9,42,23
 ,,,,,,,
TriMet Passenger Census -Fall 2018,10,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
3900 Block SW Murray,4060,N,AT,2,2,4,3
3900 Block SW Murray,8316,S,OP,3,13,16,2
400 Block Beavercreek Rd,10469,E,AT,4,47,51,29
400 Block SE Main (Estacada City Hall),3724,S,AT,69,54,123,3
400 Block SW 257th,10170,N,AT,0,3,3,0
400 Block SW 257th,10171,S,OP,2,0,2,0
4000 Block NW Yeon Frontage Rd,6460,E,AT,9,1,10,0
4000 Block SW Fairview (Arboretum),1624,N,AT,2,1,3,0
4000 Block SW Fairview (Arboretum),1625,S,OP,1,1,2,0
4100 Block SE 182nd,8800,S,AT,0,18,18,4
4100 Block SW 110th,10035,S,OP,54,1,55,0
4100 Block SW Council Crest,1207,E,AT,0,1,1,0
4100 Block South Shore,5290,W,AT,0,0,0,0
4100 Block South Shore,5291,S,OP,0,0,0,0
4200 Block NE 125th Pl,13118,W,NS,8,0,8,0
4200 Block NW Front,8901,E,OP,1,0,1,0
4200 Block NW Front,8902,W,AT,1,3,4,0
4200 Block NW Yeon,6458,W,AT,0,2,2,0
4200 Block NW Yeon,12754,E,OP,1,0,1,0
4200 Block SW 110th,10036,N,AT,1,56,57,0
